Topic,Heading,Learning Outcomes
,Investment Manager Selection, evaluate a managers investment philosophy and investment decision-making process.
,Investment Manager Selection, evaluate the costs and benefits of pooled investment vehicles and separate accounts.
,Investment Manager Selection, compare types of investment manager contracts including their major provisions and advantages and disadvantages.
,Investment Manager Selection, describe the three basic forms of performance-based fees.
,Case Study in Portfolio Management: Institutional, analyze and interpret a sample performance-based fee schedule.
,Case Study in Portfolio Management: Institutional,The candidate should be able to discuss tools for managing portfolio liquidity risk.
,Case Study in Portfolio Management: Institutional, discuss capture of the illiquidity premium as a long-term investment strategy.
,Case Study in Portfolio Management: Institutional, analyze asset allocation and portfolio construction in relation to liquidity needs.
,Case Study in Portfolio Management: Institutional, demonstrate the application of the code of ethics and standards of professional conduct regarding the actions of individuals involved in manager selection.
,Case Study in Portfolio Management: Institutional, analyze the costs and benefits of derivatives versus cash market techniques for establishing or modifying asset class or risk exposures.
,Case Study in Portfolio Management: Institutional, demonstrate the use of derivatives overlays in tactical asset allocation and rebalancing.
,Case Study in Risk Management: Private Wealth, discuss esg considerations in managing long-term institutional portfolios.
,Case Study in Risk Management: Private Wealth,The candidate should be able to identify and analyze a familys risk exposures during the early career stage.
,Case Study in Risk Management: Private Wealth, recommend and justify methods to manage a familys risk exposures during the.
,Case Study in Risk Management: Private Wealth, identify and analyze a familys risk exposures during the career development stage.
,Case Study in Risk Management: Private Wealth, recommend and justify methods to manage a familys risk exposures during the career development stage.
,Case Study in Risk Management: Private Wealth, identify and analyze a familys risk exposures during the peak accumulation stage.
,Case Study in Risk Management: Private Wealth, recommend and justify methods to manage a familys risk exposures during the peak accumulation stage.
,Case Study in Risk Management: Private Wealth, identify and analyze a familys risk exposures during the early retirement stage.
,Case Study in Risk Management: Institutional, recommend and justify a plan to manage risks associated with an individuals retirement lifestyle goals.
,Case Study in Risk Management: Institutional,The candidate should be able to discuss financial risks associated with the portfolio strategy of an institutional.
,Case Study in Risk Management: Institutional, discuss environmental and social risks associated with the portfolio strategy of an institutional investor.
,Case Study in Risk Management: Institutional, analyze and evaluate the financial and non-financial risk exposures in the portfolio strategy of an institutional investor.
,Case Study in Risk Management: Institutional, discuss various methods to manage the risks that arise on long-term direct investments of an institutional investor.
,Options Strategies, evaluate strengths and weaknesses of an enterprise risk management system and recommend improvements.
,Options Strategies,The candidate should be able to demonstrate how an assets returns may be replicated by using options.
,Options Strategies, discuss the investment objectives structure payoff risks value at expiration.
,Options Strategies, discuss the investment objectives structure payoff risks value at expiration profit maximum profit maximum loss and breakeven underlying price at expiration of a protective put position.
,Options Strategies, compare the delta of covered call and protective put positions with the position of being long an asset and short a forward on the underlying asset.
,Options Strategies, compare the effect of buying a call on a short underlying position with the effect of selling a put on a short underlying position.
,Options Strategies, discuss the investment objectives structure payoffs risks value at expiration profit maximum profit maximum loss and breakeven underlying price at expiration of the following option strategies bull spread bear spread straddle and collar.
,Options Strategies, describe uses of calendar spreads.
,Options Strategies, discuss volatility skew and smile.
,Options Strategies, identify and evaluate appropriate option strategies consistent with given investment objectives.
,"Swaps, Forwards, and Futures Strategies", demonstrate the use of options to achieve targeted equity risk exposures.
,"Swaps, Forwards, and Futures Strategies",The candidate should be able to demonstrate how interest rate swaps forwards and futures can be used to.
,"Swaps, Forwards, and Futures Strategies", demonstrate how currency swaps forwards and futures can be used to modify a portfolios risk and return.
,"Swaps, Forwards, and Futures Strategies", demonstrate how equity swaps forwards and futures can be used to modify a portfolios risk and return.
,"Swaps, Forwards, and Futures Strategies", demonstrate the use of volatility derivatives and variance swaps.
,"Swaps, Forwards, and Futures Strategies", demonstrate the use of derivatives to achieve targeted equity and interest rate risk exposures.
,Overview of Fixed-Income Portfolio Management, demonstrate the use of derivatives in asset allocation rebalancing and inferring market expectations.
,Overview of Fixed-Income Portfolio Management,The candidate should be able to discuss roles of fixed-income securities in portfolios and how fixed-income.
,Overview of Fixed-Income Portfolio Management, describe fixed-income portfolio measures of risk and return as well as correlation characteristics.
,Overview of Fixed-Income Portfolio Management, describe bond market liquidity including the differences among market sub-sectors and discuss the effect of liquidity on fixed-income portfolio management.
,Overview of Fixed-Income Portfolio Management, describe and interpret a model for fixed-income returns.
,Overview of Fixed-Income Portfolio Management, discuss the use of leverage alternative methods for leveraging and risks that leverage creates in fixed-income portfolios.
,Liability-Driven and Index-Based Strategies, discuss differences in managing fixed-income portfolios for taxable and tax-exempt investors.
,Liability-Driven and Index-Based Strategies,The candidate should be able to describe liability-driven investing.
,Liability-Driven and Index-Based Strategies, evaluate strategies for managing a single liability.
,Liability-Driven and Index-Based Strategies, compare strategies for a single liability and for multiple liabilities including.
,Liability-Driven and Index-Based Strategies, describe construction benefits limitations and riskreturn characteristics of a laddered bond portfolio.
,Liability-Driven and Index-Based Strategies, evaluate liability-based strategies under various interest rate scenarios and select.
,Liability-Driven and Index-Based Strategies, explain risks associated with managing a portfolio against a liability structure.
,Liability-Driven and Index-Based Strategies, discuss bond indexes and the challenges of managing a fixed-income portfolio to mimic the characteristics of a bond index.
,Liability-Driven and Index-Based Strategies, compare alternative methods for establishing bond market exposure passively.
,Yield Curve Strategies, discuss criteria for selecting a benchmark and justify the selection of a benchmark.
,Yield Curve Strategies,The candidate should be able to describe the factors affecting fixed-income portfolio returns due to a change in.
,Yield Curve Strategies, formulate a portfolio positioning strategy given forward interest rates and an interest rate view that coincides with the market view.
,Yield Curve Strategies, formulate a portfolio positioning strategy given forward interest rates and an interest rate view that diverges from the market view in terms of rate level slope and shape.
,Yield Curve Strategies, formulate a portfolio positioning strategy based upon expected changes in interest rate volatility.
,Yield Curve Strategies, evaluate a portfolios sensitivity using key rate durations of the portfolio and its benchmark.
,Yield Curve Strategies, discuss yield curve strategies across currencies.
,Fixed-Income Active Management: Credit Strategies, evaluate the expected return and risks of a yield curve strategy.
,Fixed-Income Active Management: Credit Strategies,The candidate should be able to describe risk considerations for spread-based fixed-income portfolios.
,Fixed-Income Active Management: Credit Strategies, discuss the advantages and disadvantages of credit spread measures for.
,Fixed-Income Active Management: Credit Strategies, discuss bottom-up approaches to credit strategies.
,Fixed-Income Active Management: Credit Strategies, discuss top-down approaches to credit strategies.
,Fixed-Income Active Management: Credit Strategies, discuss liquidity risk in credit markets and how liquidity risk can be managed in a credit portfolio.
,Fixed-Income Active Management: Credit Strategies, describe how to assess and manage tail risk in credit portfolios.
,Fixed-Income Active Management: Credit Strategies, discuss the use of credit default swap strategies in active fixed-income portfolio management.
,Fixed-Income Active Management: Credit Strategies, discuss various portfolio positioning strategies that managers can use to implement a specific credit spread view.
,Fixed-Income Active Management: Credit Strategies, discuss considerations in constructing and managing portfolios across international credit markets.
,Fixed-Income Active Management: Credit Strategies, describe the use of structured financial instruments as an alternative to corporate bonds in credit portfolios.
,Overview of Equity Portfolio Management, describe key inputs outputs and considerations in using analytical tools to manage fixed-income portfolios.
,Overview of Equity Portfolio Management,The candidate should be able to describe the roles of equities in the overall portfolio.
,Overview of Equity Portfolio Management, describe how an equity managers investment universe can be segmented.
,Overview of Equity Portfolio Management, describe the types of income and costs associated with owning and managing an.
,Overview of Equity Portfolio Management, describe the potential benefits of shareholder engagement and the role an equity manager might play in shareholder engagement.
,Passive Equity Investing, describe rationales for equity investment across the passiveactive spectrum.
,Passive Equity Investing,The candidate should be able to discuss considerations in choosing a benchmark for a passively managed equity.
,Passive Equity Investing, compare passive factor-based strategies to market-capitalization-weighted indexing.
,Passive Equity Investing, compare different approaches to passive equity investing.
,Passive Equity Investing, compare the full replication stratified sampling and optimization approaches for the construction of passively managed equity portfolios.
,Passive Equity Investing, discuss potential causes of tracking error and methods to control tracking error for passively managed equity portfolios.
,Active Equity Investing: Strategies, explain sources of return and risk to a passively managed equity portfolio.
,Active Equity Investing: Strategies,The candidate should be able to compare fundamental and quantitative approaches to active management.
,Active Equity Investing: Strategies, analyze bottom-up active strategies including their rationale and associated.
,Active Equity Investing: Strategies, analyze top-down active strategies including their rationale and associated processes.
,Active Equity Investing: Strategies, analyze factor-based active strategies including their rationale and associated processes.
,Active Equity Investing: Strategies, analyze activist strategies including their rationale and associated processes.
,Active Equity Investing: Strategies, describe active strategies based on statistical arbitrage and market microstructure.
,Active Equity Investing: Strategies, describe how fundamental active investment strategies are created.
,Active Equity Investing: Strategies, describe how quantitative active investment strategies are created.
,Active Equity Investing: Portfolio Construction, discuss equity investment style classifications.
,Active Equity Investing: Portfolio Construction,The candidate should be able to describe elements of a managers investment philosophy that influence the.
,Active Equity Investing: Portfolio Construction, discuss approaches for constructing actively managed equity portfolios.
,Active Equity Investing: Portfolio Construction, distinguish between active share and active risk and discuss how each measure relates to a managers investment strategy.
,Active Equity Investing: Portfolio Construction, discuss the application of risk budgeting concepts in portfolio construction.
,Active Equity Investing: Portfolio Construction, discuss risk measures that are incorporated in equity portfolio construction and describe how limits set on these measures affect portfolio construction.
,Active Equity Investing: Portfolio Construction, discuss how assets under management position size market liquidity and portfolio turnover affect equity portfolio construction decisions.
,Active Equity Investing: Portfolio Construction, evaluate the efficiency of a portfolio structure given its investment mandate.
,Hedge Fund Strategies, discuss the long-only long extension longshort and equitized market-neutral approaches to equity portfolio construction including their risks costs and effects on potential alphas.
,Hedge Fund Strategies,The candidate should be able to discuss how hedge fund strategies may be classified.
,Hedge Fund Strategies, discuss investment characteristics strategy implementation and role in a.
,Hedge Fund Strategies, discuss investment characteristics strategy implementation and role in a portfolio of event-driven hedge fund strategies.
,Hedge Fund Strategies, discuss investment characteristics strategy implementation and role in a portfolio of relative value hedge fund strategies.
,Hedge Fund Strategies, discuss investment characteristics strategy implementation and role in a portfolio of opportunistic hedge fund strategies.
,Hedge Fund Strategies, discuss investment characteristics strategy implementation and role in a portfolio of specialist hedge fund strategies.
,Hedge Fund Strategies, discuss investment characteristics strategy implementation and role in a portfolio of multi-manager hedge fund strategies.
,Asset Allocation to Alternative Investments, evaluate the impact of an allocation to a hedge fund strategy in a traditional investment portfolio.
,Asset Allocation to Alternative Investments,The candidate should be able to explain the roles that alternative investments play in multi-asset portfolios.
,Asset Allocation to Alternative Investments, compare alternative investments and bonds as risk mitigators in relation to a.
,Asset Allocation to Alternative Investments, compare traditional and risk-based approaches to defining the investment.
,Asset Allocation to Alternative Investments, discuss investment considerations that are important in allocating to different types of alternative investments.
,Asset Allocation to Alternative Investments, discuss suitability considerations in allocating to alternative investments.
,Asset Allocation to Alternative Investments, discuss approaches to asset allocation to alternative investments.
,Asset Allocation to Alternative Investments, discuss the importance of liquidity planning in allocating to alternative investments.
,Code of Ethics and Standards of Professional Conduct, discuss considerations in monitoring alternative investment programs.
,Code of Ethics and Standards of Professional Conduct,The candidate should be able to describe the structure of the cfa institute professional conduct program and.
,Guidance for Standards I–VII, explain the ethical responsibilities required by the code and standards including the sub-sections of each standard.
,Standards of Professional Conduct by interpreting the Code and Standards in various situations involving issues of professional integrity,The candidate should be able to demonstrate a thorough knowledge of the cfa institute code of ethics and.
,Application of the Code and Standards: Level III, recommend practices and procedures designed to prevent violations of the code and standards.
,Ethics and Standards of Professional Conduct,The candidate should be able to evaluate practices policies and conduct relative to the cfa institute code of.
,Asset Manager Code of Professional Conduct, explain how the practices policies or conduct does or does not violate the cfa institute code of ethics and standards of professional conduct.
,Asset Manager Code of Professional Conduct,The candidate should be able to explain the purpose of the asset manager code and the benefits that may accrue.
,Asset Manager Code of Professional Conduct, explain the ethical and professional responsibilities required by the six general principles of conduct of the asset manager code.
,Asset Manager Code of Professional Conduct, determine whether an asset managers practices and procedures are consistent with the asset manager code.
,Overview of the Global Investment Performance Standards, recommend practices and procedures designed to prevent violations of the asset manager code.
,Overview of the Global Investment Performance Standards,The candidate should be able to discuss the objectives and scope of the gips standards and their benefits to.
,Overview of the Global Investment Performance Standards, discuss requirements of the gips standards with respect to return calculation methodologies including the treatment of external cash flows cash and cash equivalents and expenses and fees.
,Overview of the Global Investment Performance Standards, explain the recommended valuation hierarchy of the gips standards.
,Overview of the Global Investment Performance Standards, explain requirements of the gips standards with respect to composite return calculations including methods for asset-weighting portfolio returns.
,Overview of the Global Investment Performance Standards, explain the meaning of discretionary in the context of composite construction and given a description of the relevant facts determine whether a portfolio is likely to be considered discretionary.
,Overview of the Global Investment Performance Standards, explain the role of investment mandates objectives or strategies in the construction of composites.
,Overview of the Global Investment Performance Standards, explain requirements of the gips standards with respect to composite construction including switching portfolios among composites the timing of the inclusion of new portfolios in composites and the timing of the exclusion of terminated portfolios from composites.
,Overview of the Global Investment Performance Standards, explain requirements of the gips standards with respect to presentation and reporting.
,Overview of the Global Investment Performance Standards, explain the conditions under which the performance of a past firm or affiliation may be linked to or used to represent the historical performance of a new or acquiring firm.
,Overview of the Global Investment Performance Standards, discuss the purpose scope and process of verification.
